Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N7Z7	guaAb		PATHWAY: Purine metabolism; GMP biosynthesis; GMP from XMP (L-Gln route): step 1/1. {ECO:0000256|ARBA:ARBA00005153, ECO:0000256|HAMAP-Rule:MF_00345}.			ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; pyrophosphatase activity [GO:0016462]				UPA00189;	cd01997;	PS51553;		PF00958;PF02540;	IPR001674;IPR026598;IPR025777;IPR022310;IPR014729;	guaAb guaAB VNG_1829G
A0A510N800	cofC		PATHWAY: Cofactor biosynthesis; coenzyme F420 biosynthesis. {ECO:0000256|HAMAP-Rule:MF_02114}.	F420-0 metabolic process [GO:0052645]		GTP binding [GO:0005525]; phospholactate guanylyltransferase activity [GO:0043814]				UPA00071;				PF01983;	IPR002835;IPR029044;	cofC VNG_1935C
A0A510N808	mat		PATHWAY: Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. {ECO:0000256|ARBA:ARBA00005224, ECO:0000256|HAMAP-Rule:MF_00136}.	one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]		ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; methionine adenosyltransferase activity [GO:0004478]				UPA00315;				PF01941;	IPR027790;IPR042544;IPR002795;	mat VNG_1297C
A0A510N817	sdhC			tricarboxylic acid cycle [GO:0006099]	integral component of membrane [GO:0016021]; succinate dehydrogenase complex [GO:0045281]	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]								PF01127;	IPR039023;IPR034804;IPR014314;IPR000701;	sdhC VNG_1310G
A0A510N820	glpB		PATHWAY: Polyol metabolism; glycerol degradation via glycerol kinase pathway; glycerone phosphate from sn-glycerol 3-phosphate (anaerobic route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00753}.	glycerol catabolic process [GO:0019563]		sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]				UPA00618;				PF00890;	IPR003953;IPR036188;IPR009158;	glpB VNG_1971G
A0A510N833	trmY				cytoplasm [GO:0005737]	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; tRNA methyltransferase activity [GO:0008175]					cd18087;			PF04013;	IPR029028;IPR007158;IPR029026;	trmY VNG_1980C
A0A510N850	hisS			histidyl-tRNA aminoacylation [GO:0006427]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]					cd00773;cd00859;	PS50862;		PF03129;PF13393;	IPR006195;IPR045864;IPR004154;IPR036621;IPR015807;IPR041715;IPR004516;IPR033656;	hisS VNG_2005G
A0A510N856	mptA		PATHWAY: Cofactor biosynthesis; 5,6,7,8-tetrahydromethanopterin biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01527}.			GTP cyclohydrolase activity [GO:0003933]; iron ion binding [GO:0005506]				UPA00065;				PF02649;	IPR003801;IPR022840;	mptA VNG_1901C
A0A510N857	rnhB			RNA catabolic process [GO:0006401]	cytoplasm [GO:0005737]	manganese ion binding [GO:0030145]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523]								PF01351;	IPR004649;IPR001352;IPR024567;IPR020787;IPR023160;IPR012337;IPR036397;	rnhB VNG_1984G
A0A510N861	lysS			lysyl-tRNA aminoacylation [GO:0006430]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; tRNA binding [GO:0000049]						PS00178;		PF01921;	IPR020751;IPR001412;IPR008925;IPR002904;IPR014729;	lysS VNG_2017G
A0A510N889	tif5B					GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]						PS51722;		PF00009;PF03144;PF14578;PF11987;	IPR004161;IPR029459;IPR027417;IPR005225;IPR000795;IPR004544;IPR015760;IPR023115;IPR036925;IPR009000;	tif5B infB VNG_1997G
A0A510N893			PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis. {ECO:0000256|HAMAP-Rule:MF_00590}.	coenzyme A biosynthetic process [GO:0015937]		kinase activity [GO:0016301]				UPA00241;				PF04019;	IPR007164;	VNG_2049C
A0A510N8B1	udg			DNA repair [GO:0006281]		4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]							SM00986;	PF03167;	IPR005273;IPR005122;IPR036895;	udg VNG_2082G
A0A510N8B5	htrXII			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	transmembrane signaling receptor activity [GO:0004888]					cd00130;	PS50111;PS50112;	SM00283;SM00091;	PF00015;PF08448;	IPR004090;IPR004089;IPR000014;IPR035965;IPR013656;	htrXII htG htr12 VNG_1442G
A0A510N8C0	ths2			protein folding [GO:0006457]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; unfolded protein binding [GO:0051082]					cd03343;	PS00750;PS00751;PS00995;		PF00118;	IPR017998;IPR002194;IPR002423;IPR027409;IPR027413;IPR027410;IPR012714;	ths2 cctB thsB VNG_2096G
A0A510N8C2	glnA			glutamine biosynthetic process [GO:0006542]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]						PS00180;PS00181;	SM01230;	PF00120;PF03951;	IPR008147;IPR036651;IPR014746;IPR008146;IPR027303;IPR004809;IPR027302;	glnA VNG_2093G
A0A510N8C3	trm1					tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]; tRNA binding [GO:0000049]						PS51626;		PF02005;	IPR029063;IPR002905;IPR022923;IPR042296;	trm1 VNG_2088G
A0A510N8C7	nucS2				cytoplasm [GO:0005737]	DNA binding [GO:0003677]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]								PF01939;	IPR002793;IPR011856;	nucS2 nucS VNG_1986C
A0A510N8D9	carS		PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000256|HAMAP-Rule:MF_01117}.	glycerophospholipid biosynthetic process [GO:0046474]	integral component of plasma membrane [GO:0005887]	CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity [GO:0043338]				UPA00940;				PF01864;	IPR032690;IPR002726;	carS VNG_2119C
A0A510N8F0	ribB		PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; 2-hydroxy-3-oxobutyl phosphate from D-ribulose 5-phosphate: step 1/1. {ECO:0000256|RuleBase:RU003843}.	riboflavin biosynthetic process [GO:0009231]		3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; metal ion binding [GO:0046872]				UPA00275;				PF00926;	IPR017945;IPR000422;	ribB VNG_2125G
A0A510N8F4				enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	cytoplasm [GO:0005737]	18S rRNA aminocarboxypropyltransferase activity [GO:0106388]; S-adenosyl-L-methionine binding [GO:1904047]								PF04034;PF04068;	IPR007209;IPR022968;IPR007177;	VNG_2075C
A0A510N8F5	arf1				cytoplasm [GO:0005737]	translation release factor activity, codon specific [GO:0016149]							SM01194;	PF03463;PF03464;PF03465;	IPR042226;IPR005140;IPR024049;IPR005141;IPR005142;IPR029064;IPR020918;IPR004403;	arf1 prf1 VNG_2131G
A0A510N8F8	atpA			plasma membrane ATP synthesis coupled proton transport [GO:0042777]	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]						PS00152;		PF00006;PF02874;PF16886;	IPR031686;IPR023366;IPR005726;IPR020003;IPR004100;IPR036121;IPR000194;IPR024034;IPR027417;IPR022878;	atpA VNG_2139G
A0A510N8F9	atpF			plasma membrane ATP synthesis coupled proton transport [GO:0042777]		ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF01990;	IPR008218;IPR022944;IPR036906;	atpF VNG_2140G
A0A510N8G1	atpC			plasma membrane ATP synthesis coupled proton transport [GO:0042777]	proton-transporting V-type ATPase, V0 domain [GO:0033179]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF01992;	IPR036079;IPR014272;IPR002843;IPR044911;IPR035067;	atpC VNG_2141G
A0A510N8G4	crtY		PATHWAY: Carotenoid biosynthesis. {ECO:0000256|ARBA:ARBA00004829}.	carotene biosynthetic process [GO:0016120]; carotenoid biosynthetic process [GO:0016117]	integral component of membrane [GO:0016021]	intramolecular lyase activity [GO:0016872]; lycopene beta cyclase activity [GO:0045436]								PF18916;	IPR017825;	crtY VNG_2137G
A0A510N8G5	atpE			plasma membrane ATP synthesis coupled proton transport [GO:0042777]	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF01991;	IPR038495;IPR002842;	atpE VNG_2142G
A0A510N8H6	rps31e			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]							SM01402;	PF01599;	IPR002906;IPR022845;IPR011332;	rps31e rps27ae VNG_2047G
A0A510N8K0	mcm			DNA replication [GO:0006260]; intein-mediated protein splicing [GO:0016539]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]						PS50818;PS50817;PS00847;PS50051;	SM00305;SM00306;SM00350;	PF00493;PF17855;PF17207;	IPR003586;IPR003587;IPR036844;IPR030934;IPR006141;IPR031327;IPR018525;IPR001208;IPR041562;IPR033762;IPR012340;IPR027417;IPR036388;	mcm VNG_2181G
A0A510N8L0	atpI				integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]	proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF01496;	IPR002490;	atpI VNG_2144G
A0A510N8L2	cbaA			aerobic respiration [GO:0009060]	integral component of membrane [GO:0016021]; respirasome [GO:0070469]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]					cd01660;	PS50855;PS00077;		PF00115;	IPR033943;IPR023616;IPR036927;IPR000883;IPR023615;	cbaA cox1B coxA2 VNG_2193G
A0A510N8L8	tfbA			transcription preinitiation complex assembly [GO:0070897]		DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]					cd00043;	PS51134;		PF08271;PF00382;	IPR013763;IPR036915;IPR000812;IPR023484;IPR013150;IPR013137;	tfbA tfb VNG_2184G
A0A510N8N6	lpdA			cell redox homeostasis [GO:0045454]		dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]						PS00076;		PF07992;PF02852;	IPR036188;IPR023753;IPR016156;IPR006258;IPR001100;IPR004099;IPR012999;	lpdA VNG_2220G
A0A510N8N7	trpS1			tryptophanyl-tRNA aminoacylation [GO:0006436]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]								PF00579;	IPR002305;IPR014729;IPR002306;IPR020653;	trpS1 trpS VNG_2208G
A0A510N8P0	trpS2			tryptophanyl-tRNA aminoacylation [GO:0006436]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]					cd00806;	PS00178;		PF00579;	IPR001412;IPR002305;IPR014729;IPR002306;IPR020653;	trpS2 trpS VNG_2232G
A0A510N8P1	atpD			plasma membrane ATP synthesis coupled proton transport [GO:0042777]		ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]								PF01813;	IPR002699;	atpD VNG_2135G
A0A510N8P4	rio1					ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]						PS00109;PS01245;	SM00090;		IPR011009;IPR000687;IPR018935;IPR008266;	rio1 pkn2 VNG_2233C
A0A510N8P6	tif1A1					translation initiation factor activity [GO:0003743]					cd05793;	PS01262;PS50832;	SM00652;	PF01176;	IPR012340;IPR006196;IPR001253;IPR018104;	tif1A1 aif1a1 eif1a VNG_2234G
A0A510N8P7	atpB			plasma membrane ATP synthesis coupled proton transport [GO:0042777]	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]						PS00152;		PF00006;PF02874;	IPR020003;IPR005724;IPR004100;IPR000194;IPR027417;IPR022879;	atpB VNG_2138G
A0A510N8Q2	tbpE			DNA-templated transcription, initiation [GO:0006352]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; translation initiation factor activity [GO:0003743]					cd04518;			PF00352;	IPR000814;IPR033711;IPR012295;	tbpE tbp VNG_2243G
A0A510N8R3	pcn			DNA replication [GO:0006260]; regulation of DNA replication [GO:0006275]		DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]						PS01251;		PF02747;PF00705;	IPR000730;IPR022649;IPR022659;IPR022648;	pcn VNG_2256G
A0A510N8R5	priL				primosome complex [GO:1990077]	4 iron, 4 sulfur cluster binding [GO:0051539]; DNA primase activity [GO:0003896]; metal ion binding [GO:0046872]					cd06560;			PF04104;	IPR007238;IPR023642;	priL priB VNG_2254C
A0A510N8R6	endA			tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]		lyase activity [GO:0016829]; nucleic acid binding [GO:0003676]; tRNA-intron endonuclease activity [GO:0000213]								PF01974;PF02778;	IPR011856;IPR036167;IPR006677;IPR006678;IPR036740;IPR006676;IPR023516;	endA VNG_2210G
A0A510N8S0	hisG		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/9. {ECO:0000256|ARBA:ARBA00004667, ECO:0000256|HAMAP-Rule:MF_00079}.	histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]				UPA00031;				PF01634;PF08029;	IPR013820;IPR001348;IPR020621;IPR013115;IPR011322;IPR015867;	hisG VNG_2247G
A0A510N8S3	rlmE				cytoplasm [GO:0005737]	rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]						PS50926;		PF01728;PF01938;	IPR012340;IPR015507;IPR002877;IPR029063;IPR002792;	rlmE ftsJ VNG_2263G
A0A510N8S6	leuS			leucyl-tRNA aminoacylation [GO:0006429]		aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]						PS00178;		PF08264;PF00133;PF13603;PF09334;	IPR001412;IPR002300;IPR002302;IPR025709;IPR013155;IPR015413;IPR014729;IPR009080;IPR009008;	leuS VNG_2223G
A0A510N8T0	ppcA			carbon fixation [GO:0015977]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]		magnesium ion binding [GO:0000287]; phosphoenolpyruvate carboxylase activity [GO:0008964]								PF14010;	IPR007566;IPR015813;	ppcA VNG_2259C
A0A510N8T1	rfcA			DNA replication [GO:0006260]	DNA replication factor C complex [GO:0005663]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA clamp loader activity [GO:0003689]							SM00382;	PF00004;PF08542;	IPR003593;IPR003959;IPR008921;IPR027417;IPR023748;IPR013748;	rfcA rfcS VNG_2280G
A0A510N8T3	tyrS			tyrosyl-tRNA aminoacylation [GO:0006437]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; tyrosine-tRNA ligase activity [GO:0004831]					cd00805;	PS00178;		PF00579;	IPR001412;IPR002305;IPR014729;IPR002307;IPR023684;IPR023617;	tyrS VNG_2237G
A0A510N8T9	orc6			DNA replication [GO:0006260]		ATP binding [GO:0005524]							SM01074;	PF13191;	IPR041664;IPR015163;IPR014277;IPR027417;IPR036388;IPR036390;	orc6 cdc6-3 VNG_2271G
A0A510N8U9	sopI			phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ion channel activity [GO:0005216]; photoreceptor activity [GO:0009881]						PS00950;PS00327;	SM01021;	PF01036;	IPR001425;IPR018229;	sopI VNG_1660G
A0A510N8W7	ala			alanine metabolic process [GO:0006522]		alanine dehydrogenase activity [GO:0000286]; NAD binding [GO:0051287]								PF02423;	IPR028609;IPR036291;IPR003462;IPR023401;	ala VNG_2224G
A0A510N8X3	mch			one-carbon metabolic process [GO:0006730]	cytoplasm [GO:0005737]	methenyltetrahydromethanopterin cyclohydrolase activity [GO:0018759]					cd00545;			PF02289;	IPR003209;	mch VNG_1686G
A0A510N8Y1	hisA		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 4/9. {ECO:0000256|ARBA:ARBA00005133, ECO:0000256|HAMAP-Rule:MF_01014, ECO:0000256|RuleBase:RU003658}.	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; dihydroorotate dehydrogenase activity [GO:0004152]				UPA00031;	cd04732;	PS00912;		PF00977;	IPR013785;IPR001295;IPR006062;IPR006063;IPR044524;IPR023016;IPR011060;	hisA VNG_2294G
A0A510N8Y8	hemL		PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from L-glutamyl-tRNA(Glu): step 2/2. {ECO:0000256|ARBA:ARBA00004819, ECO:0000256|HAMAP-Rule:MF_00375}.	protoporphyrinogen IX biosynthetic process [GO:0006782]	cytoplasm [GO:0005737]	glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]				UPA00251;	cd00610;	PS00600;		PF00202;	IPR004639;IPR005814;IPR015424;IPR015421;IPR015422;	hemL VNG_2326G
A0A510N8Z2	rpl32e			DNA repair [GO:0006281]; translation [GO:0006412]	ribosome [GO:0005840]	DNA binding [GO:0003677]; nucleotide binding [GO:0000166]; structural constituent of ribosome [GO:0003735]					cd00513;	PS00580;	SM00278;SM01393;	PF01655;	IPR010995;IPR003583;IPR001515;IPR023654;IPR018263;IPR036351;	rpl32e VNG_1711G
A0A510N913	tnaA		PATHWAY: Amino-acid degradation; L-tryptophan degradation via pyruvate pathway; indole and pyruvate from L-tryptophan: step 1/1. {ECO:0000256|ARBA:ARBA00004662, ECO:0000256|HAMAP-Rule:MF_00544}.			tryptophanase activity [GO:0009034]				UPA00332;		PS00853;		PF01212;	IPR001597;IPR011166;IPR015424;IPR015421;IPR015422;IPR013440;IPR018176;	tnaA VNG_2373G
A0A510N914	lysC		PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 1/4. {ECO:0000256|RuleBase:RU004249}.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-homoserine from L-aspartate: step 1/3. {ECO:0000256|RuleBase:RU004249}.; PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 1/5. {ECO:0000256|RuleBase:RU004249}.	lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]				UPA00034;UPA00050;UPA00051;		PS51671;PS00324;		PF00696;PF13840;	IPR036393;IPR045865;IPR002912;IPR001048;IPR001341;IPR018042;IPR027795;	lysC VNG_2374G
A0A510N923	hisB		PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 6/9. {ECO:0000256|ARBA:ARBA00005047, ECO:0000256|HAMAP-Rule:MF_00076}.	histidine biosynthetic process [GO:0000105]	cytoplasm [GO:0005737]	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]				UPA00031;	cd07914;	PS00954;PS00955;		PF00475;	IPR038494;IPR000807;IPR020565;IPR020568;	hisB VNG_2295G
A0A510N929	uvrC			nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]	DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]						PS50164;PS50151;PS50165;	SM00465;SM00278;	PF02151;PF08459;	IPR000305;IPR035901;IPR003583;IPR010994;IPR001943;IPR036876;IPR004791;IPR001162;IPR038476;	uvrC VNG_2381G
A0A510N941	mdh			carboxylic acid metabolic process [GO:0019752]		L-malate dehydrogenase activity [GO:0030060]								PF02866;PF00056;	IPR001557;IPR022383;IPR001236;IPR015955;IPR036291;	mdh VNG_2367G
A0A510N944	orc7			DNA replication [GO:0006260]		ATP binding [GO:0005524]					cd08768;		SM00382;SM01074;	PF13191;PF09079;	IPR003593;IPR041664;IPR015163;IPR014277;IPR027417;IPR036388;IPR036390;	orc7 cdc6-4 VNG_2411G
